"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "TypeScript JSX", "SCSS", "CSS", "comment", "blank", "total"
"c:\TPA\TPA-Web\tpa-web-frontend\.eslintrc.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\TPA\TPA-Web\tpa-web-frontend\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 9, 28
"c:\TPA\TPA-Web\tpa-web-frontend\helper\JWTToken.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"c:\TPA\TPA-Web\tpa-web-frontend\helper\UserHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\TPA\TPA-Web\tpa-web-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\TPA\TPA-Web\tpa-web-frontend\package-lock.json", "JSON", 0, 0, 11551, 0, 0, 0, 0, 0, 0, 0, 1, 11552
"c:\TPA\TPA-Web\tpa-web-frontend\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\TPA\TPA-Web\tpa-web-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 68, 1, 93
"c:\TPA\TPA-Web\tpa-web-frontend\src\helper\DateHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"c:\TPA\TPA-Web\tpa-web-frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 20, 116
"c:\TPA\TPA-Web\tpa-web-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\PostModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 4, 28
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\ReelModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\StoryModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\UserModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MasterLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 20, 111
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\ReelNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 13, 58
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\StoryNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 21, 104
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\CommentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 1, 21, 165
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\HomeReelCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\HomeStoryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\PostCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 10, 131
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\ReplyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 21, 150
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\CommentCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 103, 0, 1, 31, 135
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\HomeReelCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 10, 55
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\HomeStoryCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 10, 67
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\PostCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 48, 185
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\ReplyCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 99, 0, 1, 33, 133
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\MasterLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 145, 0, 2, 47, 194
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\ReelNavbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 28, 114
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\StoryNavbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 32, 128
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\CreatePostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 22, 175
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\PostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 18, 201
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\CreatePostModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 49, 200
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\PostModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 79, 314
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ActivatePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChangePasswordPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 15, 58
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreatePhotoStoryPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 47, 186
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateReelPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 53, 218
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateStoryPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 38, 173
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\CreateTextStoryPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 229, 0, 0, 61, 290
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ForgotPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 15, 58
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\HomePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 46, 211
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\LoginPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 27, 103
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ReelPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 77, 307
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\RegisterPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 14, 83
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\StoryPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 93, 0, 1, 29, 123
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\UserProfilePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 475, 0, 3, 141, 619
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ActivatePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 9, 46
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ChangePassword.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 13, 96
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\ForgotPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 6, 65
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\LoginPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 12, 85
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\guest\RegisterPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 13, 100
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\FriendsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 19, 181
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\UserProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 145, 0, 0, 228, 37, 410
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\CreateReelPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 45, 28, 207
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\main\reel\ReelPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 42, 238
