"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "comment", "blank", "total"
"c:\TPA\TPA-Web\tpa-web-frontend\package-lock.json", "JSON", 336, 0, 0, 0, 0, 0, 0, 336
"c:\TPA\TPA-Web\tpa-web-frontend\package.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\TPA\TPA-Web\tpa-web-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 5, 0, 11
"c:\TPA\TPA-Web\tpa-web-frontend\src\helper\TextHelper.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 0, 12, 51
"c:\TPA\TPA-Web\tpa-web-frontend\src\helper\UserHelper.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 1, 5
"c:\TPA\TPA-Web\tpa-web-frontend\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 2, 5
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\ChatModel.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 4, 20
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\GroupModel.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 0, 4, 31
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\NotificationModel.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 0, 1, 10
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\PostModel.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 2
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\UserModel.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 1, 4
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\ChatRoomComponent.tsx", "TypeScript JSX", 0, 0, 100, 0, 0, 0, 18, 118
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\EditorText.tsx", "TypeScript JSX", 0, 0, 59, 0, 0, 1, 13, 73
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\FriendProfile.tsx", "TypeScript JSX", 0, 0, 272, 0, 0, 2, 51, 325
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\FriendsNavbar.tsx", "TypeScript JSX", 0, 0, 81, 0, 0, 0, 18, 99
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\GroupProfile.tsx", "TypeScript JSX", 0, 0, 140, 0, 0, 191, 36, 367
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MasterLayout.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 1
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MentionComponent.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 0, 21, 106
