"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "comment", "blank", "total"
"c:\TPA\TPA-Web\tpa-web-frontend\.eslintrc.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\TPA\TPA-Web\tpa-web-frontend\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 9, 28
"c:\TPA\TPA-Web\tpa-web-frontend\helper\JWTToken.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 7, 23
"c:\TPA\TPA-Web\tpa-web-frontend\helper\UserHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\TPA\TPA-Web\tpa-web-frontend\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\TPA\TPA-Web\tpa-web-frontend\package-lock.json", "JSON", 0, 11887, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11888
"c:\TPA\TPA-Web\tpa-web-frontend\package.json", "JSON", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\TPA\TPA-Web\tpa-web-frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 73, 1, 104
"c:\TPA\TPA-Web\tpa-web-frontend\src\helper\DateHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"c:\TPA\TPA-Web\tpa-web-frontend\src\helper\TextHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 12, 51
"c:\TPA\TPA-Web\tpa-web-frontend\src\helper\UserHelper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\TPA\TPA-Web\tpa-web-frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 22, 121
"c:\TPA\TPA-Web\tpa-web-frontend\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\ChatModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\GroupModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\NotificationModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\PostModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\ReelModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\StoryModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\TPA\TPA-Web\tpa-web-frontend\src\model\UserModel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\ChatRoomComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 18, 118
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\EditorText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 1, 13, 73
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\FriendProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 272, 0, 0, 2, 51, 325
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\FriendsNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 18, 99
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\GroupProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 191, 36, 367
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MasterLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 33
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\MentionComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 21, 106
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 36, 250
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\StoryNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 21, 104
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\CommentCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 149, 0, 0, 3, 20, 172
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\HomeReelCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\HomeStoryCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\PostCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 15, 173
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\ReplyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 2, 20, 158
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\UserChat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 9, 61
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\CommentCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 111, 0, 2, 30, 143
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\HomeReelCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 10, 55
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\HomeStoryCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 10, 67
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\PostCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 50, 189
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\ReplyCard.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 107, 0, 4, 33, 144
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\card\css\UserChat.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 20, 81
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\ChatRoomComponent.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 117, 0, 4, 33, 154
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\EditorText.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 3, 22
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\FriendProfile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 445, 0, 1, 131, 577
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\FriendsNavbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 36, 148
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\GroupProfile.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 420, 0, 1, 120, 541
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\MasterLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 5, 16
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\Navbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 323, 0, 2, 97, 422
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\css\StoryNavbar.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 32, 128
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\CreateGroupModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 1, 12, 80
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\CreatePostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 315, 0, 0, 2, 43, 360
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\InviteGroupModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 14, 126
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\PostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 202, 0, 0, 1, 22, 225
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\CreateGroupModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 67, 310
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\CreatePostModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 298, 0, 0, 85, 383
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\InviteGroupModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 35, 180
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\component\modal\css\PostModal.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 235, 0, 0, 79, 314
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ActivatePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChangePasswordPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 15, 58
"c:\TPA\TPA-Web\tpa-web-frontend\src\page\css\ChatsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 112, 0, 2, 34, 148
